names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,region,layer
Gfpt1,11.761121,1.7853783,6.190724753648696e-32,1.1553037495465211e-29,0.6418979409131602,Duodenum,Crypt SI
Cmpk1,11.736947,1.8666587,8.240771155977104e-32,1.5290419354639126e-29,0.7600716204118174,Duodenum,Crypt SI
Tkt,11.714381,2.4681785,1.0757404334815055e-31,1.9845874225685946e-29,0.8898836168307968,Duodenum,Crypt SI
Pcbp2,11.701162,2.1574938,1.2571892649691762e-31,2.3061565579278327e-29,0.8442256042972247,Duodenum,Crypt SI
Cdh17,11.690273,5.7223234,1.4292596614642159e-31,2.606985772337413e-29,0.9767233661593554,Duodenum,Crypt SI
Eif3b,11.680761,1.736554,1.5985714629283763e-31,2.899431442732732e-29,0.7833482542524619,Duodenum,Crypt SI
Ezr,11.675349,2.0615165,1.703641721398271e-31,3.072741507002412e-29,0.8460161145926589,Duodenum,Crypt SI
Tmed2,11.67302,2.1029882,1.7509374384178707e-31,3.14050084440672e-29,0.7743957027752909,Duodenum,Crypt SI
Dazap2,11.663444,1.9580896,1.9595460431011646e-31,3.4952455249459173e-29,0.8603401969561325,Duodenum,Crypt SI
Atp5a1,11.656719,10.6206665,2.12056543216828e-31,3.7616733504149955e-29,0.9937332139659804,Duodenum,Crypt SI
Ndufs2,11.649176,3.3962328,2.31689919633226e-31,4.087491287081257e-29,0.9346463742166518,Duodenum,Crypt SI
Ndufa10,11.64419,2.4790194,2.4564487877202717e-31,4.3101331038885305e-29,0.8460161145926589,Duodenum,Crypt SI
Txnrd1,11.633038,2.0419035,2.799535564187899e-31,4.885567875124666e-29,0.855863921217547,Duodenum,Crypt SI
Defa24,11.626347,50.591194,3.027800191716602e-31,5.25551232201992e-29,0.9937332139659804,Duodenum,Crypt SI
Rpl35a,11.60975,15.970389,3.6768800614325596e-31,6.348025282532096e-29,0.9865711727842436,Duodenum,Crypt SI
Cyp2j6,11.606274,1.8863465,3.8294380322661404e-31,6.576245046367678e-29,0.7511190689346464,Duodenum,Crypt SI
Gstm2,11.6006975,1.8169848,4.087330162969336e-31,6.981981709601324e-29,0.594449418084154,Duodenum,Crypt SI
Smim24,11.592464,12.547701,4.499934878285526e-31,7.646336712918327e-29,0.9964189794091316,Duodenum,Crypt SI
Fcgbp,11.582264,9.365312,5.068929181259494e-31,8.568082650102762e-29,0.9865711727842436,Duodenum,Crypt SI
Vdac2,11.575179,3.213977,5.505593701752766e-31,9.257713159431669e-29,0.9113697403760072,Duodenum,Crypt SI
Rps23,11.567734,13.663721,6.004770250100197e-31,1.004476722924792e-28,0.9570277529095792,Duodenum,Crypt SI
Rps6,11.561403,8.343894,6.464341600848963e-31,1.0757797349660246e-28,0.9516562220232766,Duodenum,Crypt SI
Lct,11.558484,1.7692608,6.6878699718073425e-31,1.1072711899476926e-28,0.8155774395702775,Duodenum,Crypt SI
St3gal4,11.551662,6.672635,7.240640852180681e-31,1.1926739281257822e-28,0.9767233661593554,Duodenum,Crypt SI
Atp5b,11.525029,10.682662,9.867914666798672e-31,1.6171859137948991e-28,0.9946284691136974,Duodenum,Crypt SI
Cox8a,11.520142,6.831207,1.0443910034150869e-30,1.702937552790711e-28,0.9704565801253358,Duodenum,Crypt SI
Arpc5,11.509777,1.901318,1.1778253238408457e-30,1.9108588231257136e-28,0.7824529991047449,Duodenum,Crypt SI
Ggt1,11.495641,2.2077172,1.3874817684413113e-30,2.2397424447063866e-28,0.8325872873769025,Duodenum,Crypt SI
Mlec,11.491639,1.9046717,1.4532841132037788e-30,2.334292417650945e-28,0.8791405550581916,Duodenum,Crypt SI
Ugdh,11.491179,2.1032007,1.4610305894515025e-30,2.335117454477315e-28,0.8200537153088631,Duodenum,Crypt SI
Pdha1,11.487834,1.8045613,1.518719945143161e-30,2.4062619587735124e-28,0.8773500447627574,Duodenum,Crypt SI
Serinc3,11.487736,3.18114,1.5204504865720818e-30,2.4062619587735124e-28,0.9221128021486124,Duodenum,Crypt SI
Aco2,11.479076,2.3517706,1.6806584007010418e-30,2.646832022762592e-28,0.8504923903312444,Duodenum,Crypt SI
Eif4g2,11.477109,2.3696449,1.7193446243506808e-30,2.6946136503476567e-28,0.8854073410922113,Duodenum,Crypt SI
Srsf3,11.472812,2.705292,1.806908136686231e-30,2.818165661493477e-28,0.8451208594449419,Duodenum,Crypt SI
Rps16,11.471599,13.327834,1.8324317518901167e-30,2.844233611046751e-28,0.981199641897941,Duodenum,Crypt SI
Akr1c13,11.468253,2.267158,1.9046621521304155e-30,2.9422017981593522e-28,0.8755595344673232,Duodenum,Crypt SI
Btg1,11.463858,1.5640186,2.003864066014557e-30,3.0807024462514276e-28,0.6436884512085944,Duodenum,Crypt SI
Lsm4,11.457003,2.0343091,2.168919967430555e-30,3.318653134999785e-28,0.6678603401969562,Duodenum,Crypt SI
Rps10,11.44444,12.103409,2.5071762225714783e-30,3.818121903100008e-28,0.9776186213070726,Duodenum,Crypt SI
Rpl38,11.44011,13.092749,2.6354918042965755e-30,3.994687929657978e-28,0.9955237242614146,Duodenum,Crypt SI
Psmb4,11.426892,2.2063735,3.0689628232780382e-30,4.629974988295863e-28,0.8495971351835273,Duodenum,Crypt SI
Rplp0,11.424727,10.950031,3.1464053051780812e-30,4.724730012915086e-28,0.9847806624888094,Duodenum,Crypt SI
Ces2g,11.411804,1.8134174,3.650756732309652e-30,5.456698199195236e-28,0.6105640107430618,Duodenum,Crypt SI
