Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Protein Polymerization (GO:0032273),38/70,0.006017416346225,0.0404508357439864,0,0,1.87855454074362,9.60523213168033,NCKAP1;CCL11;NUMA1;DCTN1;ARL2;SLAIN2;AMBRA1;PYCARD;BAIAP2L2;PAK1;BAIAP2L1;NCK2;RPS3;PTK2B;TOGARAM1;SNX9;RAC1;TPPP;CLASP1;VASP;CARMIL1;CCL24;HSP90AA1;HCK;OCLN;PINK1;TPPP3;FCHSD2;CTTN;BIN1;CDC42EP5;CDC42EP4;DRG1;EVL;MAPRE1;PFN1;MET;ARF6
GO_Biological_Process_2023,Ceramide Metabolic Process (GO:0006672),31/55,0.006095168156328,0.0409213770495457,0,0,2.042826171369402,10.418942417253188,ASAH1;ASAH2;SAMD8;SGMS1;SGMS2;CLN8;CLN6;PPP2CA;SMPD2;SGPL1;SMPD4;SPTLC1;SPTLC2;PPP2R1A;ORMDL2;ORMDL3;SPTSSA;CERS4;ABCA2;CERS6;ORMDL1;ACER2;TM9SF2;ACER1;ACER3;DEGS2;PLPP3;PLPP2;PLPP1;CERS2;NSMAF
GO_Biological_Process_2023,mRNA Stabilization (GO:0048255),30/53,0.0063735321476196,0.0426816359682601,0,0,2.0627838015766287,10.428612810886184,RBM47;DHX9;IREB2;HNRNPU;YBX1;ELAVL1;YBX3;EIF4ENIF1;SYNCRIP;ZFP36;LARP1;NOCT;IGF2BP2;HNRNPA0;PAIP1;TAF15;FUS;CIRBP;AXIN2;TENT5A;TENT5C;THRAP3;CSDE1;MAPKAPK2;HNRNPD;PABPC1;HNRNPC;NRDE2;TARDBP;MYD88
GO_Biological_Process_2023,"Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)",30/53,0.0063735321476196,0.0426816359682601,0,0,2.0627838015766287,10.428612810886184,KHDRBS1;RBM25;DDX5;RBM47;RBM8A;YTHDC1;FMR1;HNRNPU;FXR1;PTBP1;FXR2;FAM172A;PUF60;TRA2B;MAGOH;SAP18;RBM7;HNRNPA1;ZBTB7A;RBM5;HNRNPA0;DDX17;TIA1;WTAP;HNRNPL;SMU1;THRAP3;RNPS1;SRSF6;RBMX
GO_Biological_Process_2023,Positive Regulation Of DNA Recombination (GO:0045911),29/51,0.0066574851498605,0.0445266782456451,0,0,2.084562629399586,10.447855979415934,WDR48;PAXIP1;TFRC;TRRAP;YEATS4;MBTD1;VPS72;HMCES;RUVBL2;RUVBL1;EP400;EPC1;KMT5B;TRAPPC13;BRD8;DMAP1;ARID2;PIAS4;ACTR2;PARP1;KMT5C;FUS;ACTL6A;MAD2L2;MORF4L1;MRGBP;MORF4L2;MMS19;HDGFL2
GO_Biological_Process_2023,Erythrocyte Differentiation (GO:0030218),28/49,0.0069456823534443,0.0456189445471626,0,0,2.1084228231336524,10.478091975909363,KMT2E;ALAS1;UBA5;CEBPG;HSCB;SLC1A5;RPS14;UFL1;RPS19;RACGAP1;CASP3;FLVCR1;JAK2;LYAR;SH2B3;CDK5RAP3;HSPA9;LYN;MED1;CFLAR;VEGFA;SLC25A38;ID2;HCLS1;ACIN1;SLC25A5;ZFPM1;PTPN2
GO_Biological_Process_2023,Anoikis (GO:0043276),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,STK11;PIK3CA;DAPK2;TSC2;IKBKG;MAP3K7;MTOR
GO_Biological_Process_2023,Cellular Response To Sterol Depletion (GO:0071501),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,SREBF1;INSIG2;NPC1L1;INSIG1;ERLIN1;ERLIN2;SREBF2
GO_Biological_Process_2023,Integrin Activation (GO:0033622),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,CXCL12;FN1;KRIT1;MZB1;ITGB1BP1;CX3CL1;FERMT3
GO_Biological_Process_2023,Isoprenoid Biosynthetic Process (GO:0008299),7/8,0.0069677599592596,0.0456189445471626,0,0,11.057290322580643,54.91560656024106,IDI1;MVK;GGPS1;PDSS2;MVD;PDSS1;HMGCR
