Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,analysis
GO_Cellular_Component_2023,trans-Golgi Network (GO:0005802),22/241,0.0036120915271894,0.0344963475522892,0,0,1.9823580426147664,11.147727619813727,SLC30A6;COG4;GCNT1;COG2;ATP2C1;BICD1;SCAMP3;TMEM230;TEPSIN;TRAPPC6A;CCDC91;ATP7B;VPS51;TMEM79;VTI1A;YIPF6;AP1S1;RELCH;BIRC6;CORO7;AP1M2;AP1M1,Ileum-specific tip markers
GO_Cellular_Component_2023,"RNA Polymerase II, Core Complex (GO:0005665)",4/14,0.0037934127892551,0.0344963475522892,0,0,7.833161688980432,43.66587518201271,POLR2F;POLR2G;POLR2I;POLR2J,Ileum-specific tip markers
GO_Cellular_Component_2023,Ficolin-1-Rich Granule (GO:0101002),18/184,0.0039252119377032,0.0346132325415649,0,0,2.136835744230842,11.838785718431618,PSMD12;VCP;ASAH1;PSMD14;ATP6AP2;COMMD3;DYNLL1;MAPK14;EEF1A1;PSMA5;PSMB7;PSMD6;PSMC3;PSMA2;GLB1;ALDOA;PGM1;PAFAH1B2,Ileum-specific tip markers
GO_Biological_Process_2023,Positive Regulation Of Mitochondrion Organization (GO:0010822),10/58,0.00044780741453111537,0.0374665536824366,0,0,4.096934369602764,31.59206438708508,FAM162A;PDCD5;TNFSF10;MUL1;CHCHD10;BAX;SPIRE1;MIEF1;BID;BBC3,Ileum-specific tip markers
GO_Cellular_Component_2023,Core Mediator Complex (GO:0070847),5/23,0.0043995415815975,0.0376549000072026,0,0,5.443012600229095,29.5351739532487,MED11;MED21;MED9;MED29;MED6,Ileum-specific tip markers
GO_Cellular_Component_2023,Early Endosome (GO:0005769),26/307,0.0045646281471588,0.0379516225949496,0,0,1.82752400916492,9.849291202735904,ASAH1;ZFYVE9;SNX12;PTPN23;LRP6;EEA1;AP3M1;SNX1;AP1S1;APBB2;LDLR;SH3GL2;SNX6;APPL1;WASHC3;AP1M1;RUBCN;SORT1;AP3D1;LNPEP;HPS5;TMEM230;CLCN4;WDR81;ALS2;VIPAS39,Ileum-specific tip markers
GO_Biological_Process_2023,Response To Amino Acid (GO:0043200),7/30,0.0004859792851996578,0.0394643766598898,0,0,5.974398131512756,45.58074187209059,RPTOR;XBP1;RRAGA;SESN2;LAMTOR4;LAMTOR3;LAMTOR5,Ileum-specific tip markers
GO_Biological_Process_2023,Anterograde Synaptic Vesicle Transport (GO:0048490),5/15,0.0005431648389770978,0.0416577255671046,0,0,9.801546391752575,73.68898351403546,BLOC1S4;AP3M1;BLOC1S1;BLOC1S2;AP3D1,Ileum-specific tip markers
GO_Biological_Process_2023,Synaptic Vesicle Transport Along Microtubule (GO:0099517),5/15,0.0005431648389770978,0.0416577255671046,0,0,9.801546391752575,73.68898351403546,BLOC1S4;AP3M1;BLOC1S1;BLOC1S2;AP3D1,Ileum-specific tip markers
GO_Cellular_Component_2023,BLOC-1 Complex (GO:0031083),3/8,0.005377787602168,0.0434704497841916,0,0,11.74074074074074,61.350984977485886,BLOC1S4;BLOC1S1;BLOC1S2,Ileum-specific tip markers
GO_Molecular_Function_2023,Metal-Dependent Deubiquitinase Activity (GO:0140492),4/8,0.0003355674777518888,0.0476505818407682,0,0,19.58908341915551,156.70654568315703,COPS6;PSMD14;EIF3H;EIF3F,Ileum-specific tip markers
