group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Top villous SI,Enpp7,96.20879,6.03107,0.0,0.0,0.760589057467539,0.519593366651522
Top villous SI,Nat8f5,96.120415,2.5302043,0.0,0.0,0.8049304191058805,0.47367673784643344
Top villous SI,Abhd6,96.03381,2.1077554,0.0,0.0,0.8708246399416615,0.5714164016356201
Top villous SI,Dnajb9,95.77451,2.1338696,0.0,0.0,0.6758765977272266,0.35373125851885506
Top villous SI,Cab39,95.74689,2.3596876,0.0,0.0,0.9105070188587518,0.7135393003180373
Top villous SI,Gnai2,95.73258,2.214888,0.0,0.0,0.8732959264285859,0.6449057246706043
Top villous SI,Mir22hg,95.62743,2.080959,0.0,0.0,0.7220612960074544,0.4057246706042708
Top villous SI,Dsg2,95.61608,2.3150861,0.0,0.0,0.839528429922823,0.5973705134029986
Top villous SI,Lpin2,95.60724,2.054622,0.0,0.0,0.7300828488666518,0.4289811449341209
Top villous SI,Papss2,95.499374,6.3407636,0.0,0.0,0.9371239897097251,0.6657769195820081
Top villous SI,Fabp2,95.356544,inf,0.0,0.0,1.0,1.0
Top villous SI,Ppm1j,95.27773,2.3537025,0.0,0.0,0.5954787611157251,0.2423614266242617
Top villous SI,Naip5,95.100075,2.271077,0.0,0.0,0.86640873457978,0.6246876419809178
Top villous SI,Creb3l2,95.080696,2.1971564,0.0,0.0,0.6588814390179675,0.3363243980009087
Top villous SI,Sc5d,94.9938,2.2458413,0.0,0.0,0.8982518686572002,0.6573432530667879
Top villous SI,Casp7,94.823715,3.0439255,0.0,0.0,0.95316709542812,0.7670945024988641
Top villous SI,Id1,94.77102,2.612964,0.0,0.0,0.8705005367958353,0.6554123125851885
Top villous SI,Sec14l2,94.671555,2.1147578,0.0,0.0,0.8282658456053639,0.5215810995002271
Top villous SI,Tnfrsf1a,94.64696,2.2118444,0.0,0.0,0.8881439017967468,0.679350295320309
Top villous SI,Tle5,94.36857,4.7071376,0.0,0.0,0.9894463913140357,0.915038618809632
Top villous SI,Sult1d1,94.34828,3.7296052,0.0,0.0,0.9712763587011567,0.8092060427078601
Top villous SI,Sidt2,94.25236,2.201826,0.0,0.0,0.9022018757469564,0.7072637437528396
Top villous SI,Fam214b,94.22658,1.9540619,0.0,0.0,0.7475844187412644,0.44650159018627894
Top villous SI,Tmem59,94.16518,4.4567347,0.0,0.0,0.9828833026110559,0.8580190822353476
Top villous SI,Atp6v0e,94.084785,3.7096932,0.0,0.0,0.970425587943363,0.8159927305770105
Top villous SI,Gramd3,94.044014,2.3134992,0.0,0.0,0.8846395365325015,0.6096376646978646
Top villous SI,Slc2a2,93.92633,4.9149756,0.0,0.0,0.8668746328519051,0.5973989095865516
Top villous SI,AW112010,93.9121,4.525849,0.0,0.0,0.9407904065468835,0.7629202635165834
Top villous SI,S100a10,93.65141,25.235441,0.0,0.0,0.9965564040755971,0.9483757383007724
Top villous SI,Stk17b,93.50014,2.299147,0.0,0.0,0.7823849940243482,0.5174352567014994
Top villous SI,Ccni,93.38949,1.9940382,0.0,0.0,0.834585856948974,0.5913221263062245
Top villous SI,Ctnnb1,93.37584,4.9610624,0.0,0.0,0.9862256163023883,0.924437755565652
Top villous SI,Sppl2a,93.26286,1.9358712,0.0,0.0,0.7365041424433326,0.4451385733757383
Top villous SI,Cyp2c55,93.222565,3.6820855,0.0,0.0,0.8006157959770697,0.5058212176283507
Top villous SI,Sema6a,93.19234,1.9388734,0.0,0.0,0.693641501407823,0.36747501135847344
Top villous SI,Tmem54,93.188576,3.6869402,0.0,0.0,0.9733222598091843,0.8324625170377101
