Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,analysis
GO_Biological_Process_2023,Regulation Of Interleukin-1 Beta Production (GO:0032651),19/84,0.0038442380560962,0.0401203505207828,0,0,2.1849689034369884,12.151005061669824,GSDMD;APP;EGR1;F2R;WNT5A;STAT3;HSPB1;APOA1;NLRC4;CX3CL1;PANX1;CASP8;TYROBP;ELF4;F2RL1;CD36;JAK2;GIT1;TMEM106A,Conserved Top Villous SI markers
GO_Biological_Process_2023,Positive Regulation Of Protein Ubiquitination (GO:0031398),19/84,0.0038442380560962,0.0401203505207828,0,0,2.1849689034369884,12.151005061669824,GSK3B;GSK3A;NDFIP2;NDFIP1;PDCD6;PHF23;CUL3;DCUN1D4;DERL1;XIAP;PTTG1IP;SMAD7;PINK1;UBB;FBXO4;CRY1;TRIB3;BIRC3;SPSB4,Conserved Top Villous SI markers
GO_Biological_Process_2023,Epithelium Development (GO:0060429),30/154,0.0040456493946242,0.0420282519869127,0,0,1.810844171068419,9.97795636798303,ERRFI1;TAGLN;TNC;GATA6;KRT23;KRT20;LGALS3;SLC9A3R1;PDCD10;DAG1;KDR;PGK1;ANXA7;JAK2;MFSD2A;CTSB;STAT1;ANXA4;KRT12;VEGFA;VIL1;SULT1B1;BMP2;SPINT1;TOLLIP;CDHR2;TAGLN2;WDPCP;TPP1;PPARG,Conserved Top Villous SI markers
GO_Biological_Process_2023,Phosphatidylcholine Metabolic Process (GO:0046470),14/55,0.0040396873036887,0.0420282519869127,0,0,2.550463466418104,14.057103810652062,PLA2G2D;LPGAT1;SLC44A4;PCYT1A;SLC44A1;ABHD4;CHKA;ABHD3;NR1H2;APOA1;APOA4;PLA2G7;LPCAT3;MFSD2A,Conserved Top Villous SI markers
GO_Biological_Process_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),51/297,0.0040567240563943,0.0420466422267107,0,0,1.554878048780488,8.56330351220995,DYRK2;FAM13B;WWC1;PTEN;HSPB1;ARHGAP5;TMSB4X;KDR;ITGAV;KMT5A;RALBP1;VWF;WNT5A;PLEKHG6;RHOF;GMIP;RHOD;BCR;CEACAM1;TMBIM4;ARHGEF3;PRKD2;RHOU;ARHGEF2;EZR;SGK1;DIPK2A;SQSTM1;OPTN;ARHGEF5;CSF1R;KALRN;EGFR;GNA13;FGD4;NUAK2;RRAS;TMEM127;CHN2;GPAT3;PAK2;LYN;PLK3;ARHGAP26;HIPK2;VEGFA;NFKBIA;BST1;TAOK3;F2RL1;GRB2,Conserved Top Villous SI markers
GO_Biological_Process_2023,Positive Regulation Of Chemotaxis (GO:0050921),12/44,0.0041251459092629,0.0424636318085629,0,0,2.8000106067034367,15.37388912379737,P2RX4;EDN3;TMSB4X;KDR;HSPB1;F2RL1;XCL1;PRKD2;STX3;THBS1;VEGFA;LGMN,Conserved Top Villous SI markers
GO_Biological_Process_2023,Response To Unfolded Protein (GO:0006986),12/44,0.0041251459092629,0.0424636318085629,0,0,2.8000106067034367,15.37388912379737,DNAJA1;DNAJB1;ERP44;TRAM1;DNAJB4;DDIT3;DERL1;HSPB1;TMBIM6;BAK1;OPTN;HERPUD1,Conserved Top Villous SI markers
GO_Biological_Process_2023,Nucleus Organization (GO:0006997),12/44,0.0041251459092629,0.0424636318085629,0,0,2.8000106067034367,15.37388912379737,CTDNEP1;PDCD6IP;TOR1A;VPS4B;CHMP1B;REEP3;CHMP1A;CHMP2B;CHMP4C;CHMP3;NUP98;CHMP5,Conserved Top Villous SI markers
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),92/594,0.0041682649361958,0.0428099755606119,0,0,1.3786470280494183,7.555337836987853,GSK3B;VIPR1;SLC44A4;DDX3X;CITED2;FAF1;PTEN;IRS2;PTPRJ;CIB1;AREG;ACTB;CX3CL1;CXCL16;EPB41L4B;PPP3CA;ZFP36;ESM1;TMEM102;KDR;ITGAV;CAPN1;MFSD2A;SMARCC2;CSNK2A1;EDN3;TSC22D1;IL15;SLC30A2;F2R;TPM1;TFE3;GLP2R;NRG1;RHOD;SIRT2;EREG;GAREM1;PRKD2;CD47;SLC25A5;EPHA1;EAPP;CACUL1;HBEGF;YAP1;CSF1R;MTPN;GRN;MAPKAP1;CCDC25;CUL3;SRF;COX17;PDGFA;TGFA;NEDD9;THBS1;EGFR;GNAI2;CDC42;DPP4;SDCBP;MAPK8;SERTAD1;GRK5;ERBB3;EPCAM;PDCD10;CCL5;PDGFC;DHX36;STX3;TRPM4;LYN;INSR;IGF2;CIDEB;TBX3;VEGFA;BST1;BMP2;MDM2;CTNNB1;AQP11;KRAS;P4HB;CALR;SLC25A33;EIF4G2;LGMN;CRLF2,Conserved Top Villous SI markers
GO_Molecular_Function_2023,Ubiquitin Binding (GO:0043130),19/80,0.0021386023182578,0.0431201909285945,0,0,2.328775723753052,14.316388126463606,ILRUN;USP25;TSG101;UBXN2A;FAF1;HSPB1;RNF19B;UBE2L6;SIRT2;RNFT1;UCHL1;HGS;TOLLIP;NBR1;TOM1;MVB12A;MDM2;UBAP1;SQSTM1,Conserved Top Villous SI markers
